#:unix_secs,unix_nsecs,sysuptime,exaddr,dpkts,doctets,first,last,engine_type,engine_id,srcaddr,dstaddr,nexthop,input,output,srcport,dstport,prot,tos,tcp_flags,src_mask,dst_mask,src_as,dst_as,Label
1626117147,326493,288190340,126.52.30.1,1,60,288170240,288170240,0,0,182.168.1.6,126.52.30.145,0.0.0.0,1370,1370,45282,80,6,0,2,0,0,0,0,1
1626117147,326493,288190340,126.52.30.1,1,52,288171432,288171432,0,0,182.168.1.6,126.52.30.145,0.0.0.0,1370,1370,45382,80,6,0,16,0,0,0,0,1
1626117147,326493,288190340,126.52.30.1,1,60,288171564,288171564,0,0,182.168.1.6,126.52.30.145,0.0.0.0,1370,1370,45482,80,6,0,2,0,0,0,0,1
1626117147,326493,288190340,126.52.30.1,1,52,288171696,288171696,0,0,126.52.30.145,182.168.1.6,126.52.30.2,1370,1370,80,45578,6,0,17,0,0,0,0,1
1626117147,326493,288190340,126.52.30.1,1,52,288171844,288171844,0,0,182.168.1.6,126.52.30.145,0.0.0.0,1370,1370,45682,80,6,0,16,0,0,0,0,1
1626117147,326493,288190340,126.52.30.1,1,60,288171968,288171968,0,0,182.168.1.6,126.52.30.145,0.0.0.0,1370,1370,45782,80,6,0,2,0,0,0,0,1
1626117147,326493,288190340,126.52.30.1,1,52,288172100,288172100,0,0,126.52.30.145,182.168.1.6,126.52.30.2,1370,1370,80,45878,6,0,17,0,0,0,0,1
1626117147,326493,288190340,126.52.30.1,1,60,288172224,288172224,0,0,182.168.1.6,126.52.30.145,0.0.0.0,1370,1370,45982,80,6,0,2,0,0,0,0,1
1626117147,326493,288190340,126.52.30.1,1,52,288172364,288172364,0,0,182.168.1.6,126.52.30.145,0.0.0.0,1370,1370,46082,80,6,0,16,0,0,0,0,1
1626117147,326493,288190340,126.52.30.1,1,52,288172480,288172480,0,0,182.168.1.6,126.52.30.145,0.0.0.0,1370,1370,46182,80,6,0,16,0,0,0,0,1
1626117147,326493,288190340,126.52.30.1,1,52,288172608,288172608,0,0,182.168.1.6,126.52.30.145,0.0.0.0,1370,1370,46282,80,6,0,16,0,0,0,0,1
1626117147,326493,288190340,126.52.30.1,1,52,288172744,288172744,0,0,182.168.1.6,126.52.30.145,0.0.0.0,1370,1370,46382,80,6,0,16,0,0,0,0,1
1626117147,326493,288190340,126.52.30.1,1,52,288172884,288172884,0,0,182.168.1.6,126.52.30.145,0.0.0.0,1370,1370,46482,80,6,0,16,0,0,0,0,1
1626117147,326493,288190340,126.52.30.1,1,60,288173004,288173004,0,0,182.168.1.6,126.52.30.145,0.0.0.0,1370,1370,46582,80,6,0,2,0,0,0,0,1
1626117147,326493,288190340,126.52.30.1,1,52,288173124,288173124,0,0,126.52.30.145,182.168.1.6,126.52.30.2,1370,1370,80,46678,6,0,17,0,0,0,0,1
1626117147,326493,288190340,126.52.30.1,1,60,288173256,288173256,0,0,126.52.30.145,182.168.1.6,126.52.30.2,1370,1370,80,46782,6,0,18,0,0,0,0,1
1626117147,326493,288190340,126.52.30.1,1,52,288173396,288173396,0,0,126.52.30.145,182.168.1.6,126.52.30.2,1370,1370,80,46870,6,0,16,0,0,0,0,1
1626117147,326493,288190340,126.52.30.1,1,52,288173516,288173516,0,0,182.168.1.6,126.52.30.145,0.0.0.0,1370,1370,46982,80,6,0,16,0,0,0,0,1
