dpkts,doctets,input,output,srcport,dstport,prot,tos,tcp_flags,Label
2,1552,1704,1704,270,47942,6,0,16,0
1,87,1704,1704,59364,443,6,0,24,0
2,2940,1704,1704,3,59364,6,0,16,0
1,1470,1704,1704,271,51876,6,0,24,0
1,1500,1704,1704,479,60824,6,0,16,0
1,1500,1704,1704,219,37996,6,0,16,0
3,156,1704,1704,53764,443,6,0,16,0
1,52,1704,1704,40198,443,6,0,16,0
1,1500,1704,1704,63,37992,6,0,16,0
1,59,1704,1704,301,50176,6,0,24,0
2,2940,1704,1704,411,40198,6,0,24,0
2,104,1704,1704,37998,80,6,0,16,0
1,64,1704,1704,60922,443,6,0,16,0
1,52,1704,1704,60918,443,6,0,16,0
1,52,1704,1704,34384,443,6,0,16,0
4,6000,1704,1704,414,34384,6,0,16,0
2,3000,1704,1704,235,51830,6,0,16,0
1,91,1704,1704,101,47938,6,0,24,0
1,52,1704,1704,51830,80,6,0,16,0
3,156,1704,1704,51786,80,6,0,16,0
2,3000,1704,1704,413,51786,6,0,16,0
1,60,1704,1704,41958,443,6,0,2,0
1,52,1704,1704,38442,443,6,0,16,0
2,3000,1704,1704,316,51832,6,0,16,0
1,91,1704,1704,87,40508,6,0,24,0
4,6000,1704,1704,172,51828,6,0,16,0
5,260,1704,1704,51828,80,6,0,16,0
2,104,1704,1704,51796,80,6,0,16,0
1,91,1704,1704,453,52094,6,0,24,0
2,104,1704,1704,51832,80,6,0,16,0
1,91,1704,1704,60404,443,6,0,24,0
3,4500,1704,1704,228,51796,6,0,16,0
2,3076,1704,1704,307,51826,6,0,24,0
1,1500,1704,1704,106,37994,6,0,16,0
2,3000,1704,1704,152,54108,6,0,16,0
1,258,1704,1704,43294,443,6,0,24,0
1,52,1704,1704,36158,443,6,0,16,0
1,52,1704,1704,46730,80,6,0,16,0
1,52,1720,1720,443,34768,6,0,17,0
1,52,1720,1720,45664,443,6,0,16,0
1,52,1720,1720,57202,443,6,0,16,0
1,52,1720,1720,57234,443,6,0,16,0
1,52,1720,1720,59932,443,6,0,16,0
1,1470,1720,1720,446,38728,6,0,16,0
2,2338,1720,1720,499,59932,6,0,24,0
4,6000,1720,1720,447,40344,6,0,16,0
2,104,1720,1720,38728,443,6,0,16,0
1,52,1720,1720,40656,443,6,0,16,0
2,2940,1720,1720,351,58940,6,0,16,0
3,4500,1720,1720,219,57234,6,0,16,0
2,104,1720,1720,58940,443,6,0,16,0
4,6000,1720,1720,260,57532,6,0,16,0
1,60,1720,1720,443,54946,6,0,18,0
1,1500,1720,1720,47,37810,6,0,16,0
1,40,1720,1720,37830,80,6,0,16,0
1,1500,1720,1720,335,52980,6,0,16,0
1,52,1720,1720,53532,443,6,0,16,0
2,3000,1720,1720,352,37826,6,0,16,0
1,1500,1720,1720,2,37828,6,0,16,0
2,80,1720,1720,37826,80,6,0,16,0
2,3000,1720,1720,98,37830,6,0,16,0
1,40,1720,1720,37824,80,6,0,16,0
1,40,1720,1720,52980,443,6,0,16,0
3,4500,1720,1720,375,37824,6,0,16,0
1,239,1720,1720,56282,443,6,0,24,0
1,239,1720,1720,59162,443,6,0,24,0
1,52,1720,1720,43308,443,6,0,16,0
1,321,1720,1720,371,40066,6,0,24,0
1,1470,1720,1720,418,60030,6,0,16,0
2,182,1720,1720,165,57544,6,0,24,0
1,52,1720,1720,489,52736,6,0,16,0
1,64,1720,1720,53680,443,6,0,16,0
1,52,1720,1720,60092,443,6,0,16,0
1,52,1720,1720,60102,443,6,0,16,0
1,66,1720,1720,45529,53,17,0,0,0
1,52,1720,1720,56504,443,6,0,16,0
1,1470,1720,1720,187,48404,6,0,24,0
1,1470,1720,1720,387,39606,6,0,16,0
1,322,1720,1720,221,42486,6,0,24,0
1,1500,1720,1720,335,52980,6,0,16,0
1,52,1720,1720,43208,443,6,0,16,0
1,91,1720,1720,59294,443,6,0,24,0
3,180,1720,1720,53788,443,6,0,24,0
1,440,1720,1720,44780,80,6,0,24,0
2,202,1720,1720,54182,443,6,0,24,0
1,1500,1720,1720,391,39832,6,0,24,0
1,52,1720,1720,57544,443,6,0,16,0
1,52,1720,1720,257,54182,6,0,16,0
1,52,1720,1720,36804,443,6,0,16,0
1,1470,1720,1720,635,35596,6,0,16,0
1,52,1720,1720,46310,443,6,0,16,0
1,1500,1720,1720,483,55956,6,0,16,0
2,104,1720,1720,41216,443,6,0,16,0
2,104,1720,1720,55956,443,6,0,16,0
1,433,1720,1720,43378,80,6,0,24,0
1,1470,1720,1720,183,41216,6,0,16,0
1,52,1720,1720,56142,80,6,0,16,0
1,52,1720,1720,443,57926,6,0,17,0
1,52,1720,1720,43070,443,6,0,16,0
1,1500,1720,1720,310,43070,6,0,16,0
1,1500,1720,1720,120,60464,6,0,16,0
1,1470,1720,1720,318,39388,6,0,16,0
1,348,1720,1720,129,52112,6,0,24,0
2,104,1720,1720,60618,443,6,0,16,0
1,1470,1720,1720,19,60618,6,0,16,0
1,1500,1720,1720,447,49530,6,0,16,0
1,1500,1720,1720,342,49532,6,0,16,0
1,52,1720,1720,49532,443,6,0,16,0
1,229,1720,1720,54230,443,6,0,24,0
1,1500,1720,1720,382,49216,6,0,16,0
1,52,1720,1720,45688,993,6,0,16,0
1,52,1720,1720,51,44660,6,0,16,0
1,52,1720,1720,38738,443,6,0,16,0
1,52,1720,1720,356,43252,6,0,16,0
2,104,1720,1720,59806,443,6,0,16,0
1,52,1720,1720,49902,443,6,0,16,0
2,2940,1720,1720,312,59806,6,0,16,0
1,52,1720,1720,56964,443,6,0,16,0
1,52,1720,1720,58320,443,6,0,16,0
1,52,1720,1720,58326,443,6,0,16,0
1,1500,1720,1720,409,58334,6,0,16,0
1,52,1720,1720,59874,443,6,0,16,0
1,66,1720,1720,48567,53,17,0,0,0
1,1470,1720,1720,27,56964,6,0,16,0
1,52,1720,1720,49532,443,6,0,16,0
1,91,1720,1720,39848,443,6,0,24,0
1,91,1720,1720,51702,443,6,0,24,0
1,436,1720,1720,419,53078,6,0,24,0
1,52,1720,1720,58614,443,6,0,16,0
