#:unix_secs,unix_nsecs,sysuptime,exaddr,dpkts,doctets,first,last,engine_type,engine_id,srcaddr,dstaddr,nexthop,input,output,srcport,dstport,prot,tos,tcp_flags,src_mask,dst_mask,src_as,dst_as,Label
1631723331,388843,86635440,140.30.20.1,1,52,86601500,86601500,0,0,152.148.48.6,140.30.20.94,0.0.0.0,1168,1168,42562,443,6,0,16,0,0,0,0,1
1631723331,388843,86635440,140.30.20.1,1,60,86601960,86601960,0,0,152.148.48.9,140.30.20.164,0.0.0.0,1168,1168,37946,443,6,0,2,0,0,0,0,1
1631723331,388843,86635440,140.30.20.1,1,52,86602324,86602324,0,0,140.30.20.53,152.148.48.4,140.30.20.2,1168,1168,443,41302,6,0,16,0,0,0,0,1
1631723331,388843,86635440,140.30.20.1,1,368,86603292,86603292,0,0,140.30.20.164,152.148.48.9,140.30.20.2,1168,1168,443,38740,6,0,24,0,0,0,0,1
1631723331,388843,86635440,140.30.20.1,1,355,86604256,86604256,0,0,140.30.20.164,152.148.48.9,140.30.20.2,1168,1168,443,39144,6,0,24,0,0,0,0,1
1631723331,388843,86635440,140.30.20.1,1,60,86605320,86605320,0,0,152.148.48.9,140.30.20.164,0.0.0.0,1168,1168,39550,443,6,0,2,0,0,0,0,1
1631723331,388843,86635440,140.30.20.1,1,489,86605816,86605816,0,0,140.30.20.126,152.148.48.8,140.30.20.2,1168,1168,80,40584,6,0,24,0,0,0,0,1
1631723331,388843,86635440,140.30.20.1,1,52,86606456,86606456,0,0,140.30.20.126,152.148.48.8,140.30.20.2,1168,1168,80,40982,6,0,17,0,0,0,0,1
1631723331,388843,86635440,140.30.20.1,1,60,86606976,86606976,0,0,140.30.20.126,152.148.48.8,140.30.20.2,1168,1168,80,41380,6,0,18,0,0,0,0,1
1631723331,388843,86635440,140.30.20.1,1,384,86607304,86607304,0,0,152.148.48.8,140.30.20.126,0.0.0.0,1168,1168,41784,80,6,0,24,0,0,0,0,1
1631723331,388843,86635440,140.30.20.1,1,60,86608184,86608184,0,0,152.148.48.8,140.30.20.126,0.0.0.0,1168,1168,42186,80,6,0,2,0,0,0,0,1
1631723331,388843,86635440,140.30.20.1,1,52,86608840,86608840,0,0,140.30.20.126,152.148.48.8,140.30.20.2,1168,1168,80,42578,6,0,16,0,0,0,0,1
1631723331,388843,86635440,140.30.20.1,1,368,86609892,86609892,0,0,152.148.48.8,140.30.20.126,0.0.0.0,1168,1168,42984,80,6,0,24,0,0,0,0,1
1631723331,388843,86635440,140.30.20.1,1,52,86610644,86610644,0,0,140.30.20.90,152.148.48.10,140.30.20.2,1168,1168,80,56712,6,0,17,0,0,0,0,1
1631723331,388843,86635440,140.30.20.1,3,256,86606456,86611152,0,0,140.30.20.3,140.30.20.126,0.0.0.0,65535,1168,0,1281,1,192,0,0,0,0,0,1
1631723331,388843,86635440,140.30.20.1,1,60,86611152,86611152,0,0,140.30.20.126,152.148.48.8,140.30.20.2,1168,1168,80,43784,6,0,18,0,0,0,0,1
1631723331,388843,86635440,140.30.20.1,1,52,86611864,86611864,0,0,152.148.48.8,140.30.20.126,0.0.0.0,1168,1168,44178,80,6,0,17,0,0,0,0,1
1631723331,388843,86635440,140.30.20.1,1,52,86612220,86612220,0,0,140.30.20.90,152.148.48.10,140.30.20.2,1168,1168,80,57914,6,0,17,0,0,0,0,1
1631723331,388843,86635440,140.30.20.1,2,160,86610644,86612220,0,0,140.30.20.3,140.30.20.90,0.0.0.0,65535,1168,0,1281,1,192,0,0,0,0,0,1
1631723331,388843,86635440,140.30.20.1,1,52,86612624,86612624,0,0,152.148.48.6,140.30.20.94,0.0.0.0,1168,1168,49362,443,6,0,16,0,0,0,0,1
1631723331,388843,86635440,140.30.20.1,1,60,86613600,86613600,0,0,152.148.48.10,140.30.20.90,0.0.0.0,1168,1168,58718,80,6,0,2,0,0,0,0,1
1631723331,388843,86635440,140.30.20.1,1,52,86614240,86614240,0,0,152.148.48.10,140.30.20.90,0.0.0.0,1168,1168,59114,80,6,0,17,0,0,0,0,1
1631723331,388843,86635440,140.30.20.1,1,52,86615512,86615512,0,0,140.30.20.90,152.148.48.10,140.30.20.2,1168,1168,80,59508,6,0,16,0,0,0,0,1
1631723331,388843,86635440,140.30.20.1,1,371,86615972,86615972,0,0,140.30.20.12,152.148.48.13,140.30.20.2,1168,1168,80,40802,6,0,24,0,0,0,0,1
1631723331,388843,86635440,140.30.20.1,1,52,86616672,86616672,0,0,152.148.48.13,140.30.20.12,0.0.0.0,1168,1168,41188,80,6,0,16,0,0,0,0,1
1631723331,388843,86635440,140.30.20.1,1,402,86617200,86617200,0,0,152.148.48.13,140.30.20.12,0.0.0.0,1168,1168,41608,80,6,0,24,0,0,0,0,1
1631723331,388843,86635440,140.30.20.1,1,52,86618068,86618068,0,0,140.30.20.164,152.148.48.9,140.30.20.2,1168,1168,443,47144,6,0,16,0,0,0,0,1
1631723331,388843,86635440,140.30.20.1,1,52,86618576,86618576,0,0,152.148.48.13,140.30.20.12,0.0.0.0,1168,1168,42402,80,6,0,16,0,0,0,0,1
1631723331,388843,86635440,140.30.20.1,1,354,86619224,86619224,0,0,140.30.20.12,152.148.48.13,140.30.20.2,1168,1168,80,42802,6,0,24,0,0,0,0,1
1631723331,388843,86635440,140.30.20.1,1,383,86620384,86620384,0,0,152.148.48.12,140.30.20.191,0.0.0.0,1168,1168,53948,80,6,0,24,0,0,0,0,1
1631723345,91210,86648392,140.30.20.1,1,52,86620840,86620840,0,0,140.30.20.12,152.148.48.13,140.30.20.2,1168,1168,80,43594,6,0,16,0,0,0,0,1
1631723345,91210,86648392,140.30.20.1,1,60,86621512,86621512,0,0,152.148.48.13,140.30.20.12,0.0.0.0,1168,1168,44008,80,6,0,2,0,0,0,0,1
