dpkts,doctets,input,output,srcport,dstport,prot,tos,tcp_flags,Label
1,28,611,638,63627,51320,17,0,0,1
1,28,611,638,63627,36657,17,0,0,1
1,28,675,595,63631,42336,17,0,0,1
1,28,611,638,63625,43313,17,0,0,1
1,28,675,595,63626,33881,17,0,0,1
1,28,611,638,63873,14930,17,0,0,1
1,28,675,595,63631,15677,17,0,0,1
1,28,611,638,63630,58519,17,0,0,1
1,28,611,638,63626,26755,17,0,0,1
1,28,611,638,63632,17768,17,0,0,1
1,28,611,638,63629,44077,17,0,0,1
1,28,611,638,63625,29090,17,0,0,1
1,28,611,638,63633,63128,17,0,0,1
1,28,675,595,63628,61810,17,0,0,1
1,28,675,595,63632,24416,17,0,0,1
1,28,611,638,63627,47920,17,0,0,1
1,28,611,638,63628,32032,17,0,0,1
1,28,675,595,63628,33511,17,0,0,1
1,28,675,595,63630,63645,17,0,0,1
1,28,675,595,63627,49361,17,0,0,1
1,28,675,595,63630,33658,17,0,0,1
1,28,675,595,63631,34155,17,0,0,1
1,28,611,638,63625,12064,17,0,0,1
1,28,675,595,63626,54569,17,0,0,1
1,28,675,595,63631,65402,17,0,0,1
1,28,611,638,63630,30255,17,0,0,1
1,28,611,638,63632,32433,17,0,0,1
1,28,611,638,63628,41289,17,0,0,1
1,28,675,595,63625,48393,17,0,0,1
1,28,611,638,63852,14930,17,0,0,1
1,28,675,595,63629,26035,17,0,0,1
1,28,611,638,63632,38063,17,0,0,1
1,28,611,638,63625,46125,17,0,0,1
1,28,675,595,63627,59260,17,0,0,1
1,28,675,595,63626,10358,17,0,0,1
1,28,611,638,63627,21557,17,0,0,1
1,28,611,638,63626,47327,17,0,0,1
1,28,675,595,63629,11313,17,0,0,1
1,28,611,638,63625,59646,17,0,0,1
1,28,675,595,63625,3917,17,0,0,1
1,28,611,638,63631,35701,17,0,0,1
1,28,611,638,63632,12200,17,0,0,1
1,28,675,595,63625,25352,17,0,0,1
1,28,611,638,63625,25352,17,0,0,1
1,28,611,638,63630,49115,17,0,0,1
1,28,611,638,63633,52889,17,0,0,1
1,28,611,638,63627,52535,17,0,0,1
1,28,675,595,63630,57839,17,0,0,1
1,28,611,638,63705,14930,17,0,0,1
1,28,611,638,63701,14930,17,0,0,1
1,28,611,638,63627,49745,17,0,0,1
1,28,611,638,63627,14753,17,0,0,1
1,28,675,595,63626,18368,17,0,0,1
1,28,675,595,63814,14930,17,0,0,1
1,28,611,638,63630,3107,17,0,0,1
1,28,675,595,63625,63727,17,0,0,1
1,28,611,638,63767,14930,17,0,0,1
1,28,675,595,63633,19522,17,0,0,1
1,28,611,638,63629,43179,17,0,0,1
1,28,611,638,63625,34610,17,0,0,1
1,28,675,595,63626,25390,17,0,0,1
1,28,675,595,63633,13239,17,0,0,1
1,28,675,595,63632,57278,17,0,0,1
1,28,675,595,63714,14930,17,0,0,1
1,28,611,638,63626,42093,17,0,0,1
1,28,611,638,63625,60101,17,0,0,1
1,28,611,638,63633,11254,17,0,0,1
1,28,611,638,63632,30654,17,0,0,1
1,28,611,638,63633,45806,17,0,0,1
1,28,675,595,63631,57034,17,0,0,1
1,28,675,595,63630,34113,17,0,0,1
1,28,675,595,63633,43443,17,0,0,1
1,28,675,595,63626,36529,17,0,0,1
1,28,611,638,63632,40080,17,0,0,1
1,28,611,638,63633,58544,17,0,0,1
1,28,675,595,63629,8439,17,0,0,1
1,28,611,638,63628,44344,17,0,0,1
1,28,675,595,63626,28305,17,0,0,1
1,28,675,595,63632,7407,17,0,0,1
1,28,675,595,63628,47702,17,0,0,1
1,28,675,595,63627,32633,17,0,0,1
1,28,675,595,63626,53087,17,0,0,1
1,28,675,595,63630,53087,17,0,0,1
1,28,611,638,63631,31322,17,0,0,1
1,28,675,595,63625,56825,17,0,0,1
1,28,675,595,63626,54016,17,0,0,1
1,28,611,638,63629,59157,17,0,0,1
1,28,611,638,63625,46437,17,0,0,1
1,28,675,595,63638,14930,17,0,0,1
1,28,611,638,63631,49514,17,0,0,1
1,28,611,638,63887,14930,17,0,0,1
1,28,675,595,63627,39170,17,0,0,1
1,28,675,595,63627,54305,17,0,0,1
1,28,675,595,63631,54140,17,0,0,1
1,28,675,595,63805,14930,17,0,0,1
1,28,611,638,63633,49829,17,0,0,1
1,28,611,638,63630,52944,17,0,0,1
1,28,611,638,63627,31567,17,0,0,1
1,28,611,638,63630,31567,17,0,0,1
1,28,611,638,63629,2152,17,0,0,1
1,28,611,638,63631,49697,17,0,0,1
1,28,611,638,63632,41405,17,0,0,1
1,28,675,595,63632,9020,17,0,0,1
1,28,611,638,63631,39038,17,0,0,1
1,28,675,595,63633,31000,17,0,0,1
