#:unix_secs,unix_nsecs,sysuptime,exaddr,dpkts,doctets,first,last,engine_type,engine_id,srcaddr,dstaddr,nexthop,input,output,srcport,dstport,prot,tos,tcp_flags,src_mask,dst_mask,src_as,dst_as,Label
1631028274,919966,9380776,126.52.30.1,1,60,9343232,9343232,0,0,182.168.1.4,126.52.30.94,0.0.0.0,714,714,50454,80,6,0,2,0,0,0,0,1
1631028274,919966,9380776,126.52.30.1,1,52,9346112,9346112,0,0,126.52.30.94,182.168.1.4,126.52.30.2,714,714,80,50646,6,0,16,0,0,0,0,1
1631028274,919966,9380776,126.52.30.1,1,52,9348128,9348128,0,0,126.52.30.94,182.168.1.4,126.52.30.2,714,714,80,50846,6,0,16,0,0,0,0,1
1631028274,919966,9380776,126.52.30.1,1,60,9349668,9349668,0,0,182.168.1.8,126.52.30.58,0.0.0.0,714,714,40572,80,6,0,2,0,0,0,0,1
1631028274,919966,9380776,126.52.30.1,1,60,9350668,9350668,0,0,182.168.1.8,126.52.30.58,0.0.0.0,714,714,40772,80,6,0,2,0,0,0,0,1
1631028274,919966,9380776,126.52.30.1,1,502,9351768,9351768,0,0,182.168.1.8,126.52.30.58,0.0.0.0,714,714,40954,80,6,0,24,0,0,0,0,1
1631028274,919966,9380776,126.52.30.1,1,469,9352504,9352504,0,0,126.52.30.58,182.168.1.8,126.52.30.2,714,714,80,41148,6,0,24,0,0,0,0,1
1631028274,919966,9380776,126.52.30.1,1,52,9353248,9353248,0,0,126.52.30.58,182.168.1.8,126.52.30.2,714,714,80,41348,6,0,17,0,0,0,0,1
1631028274,919966,9380776,126.52.30.1,1,52,9354308,9354308,0,0,182.168.1.8,126.52.30.58,0.0.0.0,714,714,41550,80,6,0,16,0,0,0,0,1
1631028274,919966,9380776,126.52.30.1,1,60,9354940,9354940,0,0,126.52.30.58,182.168.1.8,126.52.30.2,714,714,80,41778,6,0,18,0,0,0,0,1
1631028274,919966,9380776,126.52.30.1,1,52,9356024,9356024,0,0,182.168.1.8,126.52.30.58,0.0.0.0,714,714,41930,80,6,0,16,0,0,0,0,1
1631028274,919966,9380776,126.52.30.1,1,52,9356552,9356552,0,0,126.52.30.58,182.168.1.8,126.52.30.2,714,714,80,42146,6,0,16,0,0,0,0,1
1631028274,919966,9380776,126.52.30.1,1,88,9357352,9357352,0,0,126.52.30.3,126.52.30.94,0.0.0.0,65535,714,0,1281,1,192,0,0,0,0,0,1
