dpkts,doctets,input,output,srcport,dstport,prot,tos,tcp_flags,Label
1,222,338,338,297,37908,6,0,24,0
5,5971,338,338,463,46006,6,0,24,0
2,135,338,338,46006,443,6,0,24,0
1,91,338,338,37574,443,6,0,24,0
1,1492,338,338,186,44224,6,0,16,0
1,52,338,338,460,44216,6,0,16,0
5,260,338,338,44418,443,6,0,16,0
3,4255,338,338,463,44418,6,0,24,0
2,104,338,338,53342,443,6,0,16,0
1,1470,338,338,147,58386,6,0,16,0
4,1726,338,338,358,53342,6,0,24,0
4,208,338,338,45628,80,6,0,16,0
11,16412,338,338,28,45628,6,0,16,0
7,352,338,338,45684,80,6,0,20,0
2,104,338,338,45704,80,6,0,16,0
6,8952,338,338,402,45696,6,0,16,0
4,5968,338,338,53,45704,6,0,16,0
10,14920,338,338,67,45682,6,0,16,0
6,8952,338,338,161,45702,6,0,16,0
2,2984,338,338,25,45938,6,0,16,0
5,260,338,338,45682,80,6,0,16,0
1,52,338,338,34598,80,6,0,16,0
1,52,338,338,55060,443,6,0,16,0
2,2984,338,338,407,55060,6,0,16,0
1,52,338,338,58300,443,6,0,16,0
1,383,338,338,46006,443,6,0,24,0
1,1470,338,338,463,46006,6,0,16,0
1,52,338,338,35448,443,6,0,16,0
1,52,338,338,45702,80,6,0,16,0
2,104,338,338,45936,80,6,0,16,0
1,1492,338,338,161,45702,6,0,16,0
1,52,338,338,45696,80,6,0,16,0
4,208,338,338,45682,80,6,0,16,0
4,5968,338,338,174,45936,6,0,16,0
1,1492,338,338,25,45938,6,0,16,0
3,156,338,338,45704,80,6,0,16,0
6,9390,338,338,67,45682,6,0,24,0
4,208,338,338,45938,80,6,0,16,0
2,2984,338,338,402,45696,6,0,16,0
3,4476,338,338,53,45704,6,0,16,0
3,4476,338,338,508,45968,6,0,16,0
2,104,338,338,45968,80,6,0,16,0
1,52,338,338,106,35716,6,0,16,0
1,1492,338,338,402,45696,6,0,16,0
1,52,338,338,45968,80,6,0,16,0
3,156,338,338,45682,80,6,0,16,0
3,4476,338,338,74,45970,6,0,16,0
5,248,338,338,45696,80,6,0,21,0
3,4476,338,338,508,45968,6,0,16,0
3,4476,338,338,53,45704,6,0,16,0
3,156,338,338,45970,80,6,0,16,0
3,4476,338,338,25,45938,6,0,16,0
6,7992,338,338,67,45682,6,0,24,0
1,52,338,338,45704,80,6,0,16,0
1,1492,338,338,278,45990,6,0,16,0
3,4476,338,338,438,45988,6,0,16,0
1,1166,338,338,235,51540,6,0,24,0
1,1492,338,338,263,43076,6,0,16,0
1,52,338,338,45970,80,6,0,16,0
1,52,338,338,45704,80,6,0,16,0
2,104,338,338,45682,80,6,0,16,0
2,104,338,338,45988,80,6,0,16,0
2,2984,338,338,67,45682,6,0,16,0
4,5968,338,338,278,45990,6,0,16,0
3,4476,338,338,53,45704,6,0,16,0
1,1492,338,338,28,46016,6,0,16,0
1,52,338,338,45938,80,6,0,16,0
1,52,338,338,46016,80,6,0,16,0
6,8952,338,338,25,45938,6,0,16,0
4,5968,338,338,74,45970,6,0,16,0
5,7460,338,338,438,45988,6,0,16,0
2,2984,338,338,144,46020,6,0,16,0
1,52,338,338,39736,443,6,0,16,0
1,52,338,338,443,39742,6,0,17,0
1,1492,338,338,354,45492,6,0,16,0
4,208,338,338,45504,443,6,0,16,0
3,4476,338,338,60,45504,6,0,16,0
1,52,338,338,39778,443,6,0,16,0
1,875,338,338,12,39778,6,0,24,0
1,1470,338,338,336,60784,6,0,16,0
1,1470,338,338,457,55574,6,0,16,0
4,208,338,338,55574,443,6,0,16,0
