dpkts,doctets,engine_type,engine_id,input,output,srcport,dstport,prot,tos,tcp_flags,Label
1,52,0,0,35,35,56240,443,6,0,16,0
1,1452,0,0,35,35,402,33816,6,0,16,0
1,219,0,0,35,35,37948,443,6,0,24,0
1,148,0,0,35,35,5481,41243,17,0,0,0
1,264,0,0,35,35,266,48796,6,0,24,0
1,666,0,0,35,35,65,58944,6,0,24,0
1,56,0,0,35,35,40320,10000,17,0,0,0
1,136,0,0,35,35,45396,49649,17,0,0,0
1,68,0,0,35,35,19235,46318,17,0,0,0
1,148,0,0,35,35,9730,38794,17,0,0,0
1,1452,0,0,35,35,25,39436,6,0,16,0
1,92,0,0,35,35,38794,10000,17,0,0,0
1,91,0,0,35,35,456,52082,6,0,24,0
1,28,0,0,752,752,0,2048,1,0,0,1
1,60,0,0,752,752,33082,58253,6,0,2,1
1,60,0,0,752,752,46310,37739,6,0,2,1
1,40,0,0,752,752,99,50927,6,0,20,1
1,68,0,0,65535,752,0,1281,1,192,0,1
1,68,0,0,65535,752,0,1281,1,192,0,1
1,40,0,0,752,752,62893,49970,6,0,20,1
1,40,0,0,752,752,53900,3901,6,0,41,1
1,40,0,0,752,752,42583,22851,6,0,41,1
1,40,0,0,752,752,54415,7009,6,0,16,1
1,40,0,0,752,752,47900,16634,6,0,41,1
1,68,0,0,65535,752,0,1281,1,192,0,1
1,40,0,0,752,752,12659,37444,6,0,20,1
1,60,0,0,752,752,38254,45597,6,0,2,1
1,68,0,0,65535,752,0,1281,1,192,0,1
1,40,0,0,752,752,56335,62196,6,0,4,1
1,68,0,0,65535,752,0,1281,1,192,0,1
1,40,0,0,752,752,44727,34305,6,0,4,1
1,40,0,0,752,752,40856,41824,6,0,16,1
1,68,0,0,65535,752,0,1281,1,192,0,1
1,40,0,0,752,752,32775,40918,6,0,4,1
1,40,0,0,752,752,12800,40188,6,0,20,1
1,68,0,0,65535,752,0,1281,1,192,0,1
1,68,0,0,65535,752,0,1281,1,192,0,1
1,40,0,0,752,752,63565,51869,6,0,20,1
1,44,0,0,752,752,52189,60977,6,0,2,1
1,60,0,0,752,752,33132,10040,6,0,2,1
1,40,0,0,752,752,53268,36576,6,0,20,1
1,68,0,0,65535,752,0,1281,1,192,0,1
1,44,0,0,752,752,59131,1057,6,0,2,1
1,60,0,0,752,752,58212,27727,6,0,2,1
1,40,0,0,752,752,50693,34699,6,0,41,1
1,60,0,0,752,752,48148,34124,6,0,2,1
1,40,0,0,752,752,31162,33747,6,0,20,1
1,68,0,0,65535,752,0,1281,1,192,0,1
1,40,0,0,752,752,65141,35641,6,0,41,1
1,68,0,0,65535,752,0,1281,1,192,0,1
1,40,0,0,752,752,48944,34964,6,0,4,1
1,40,0,0,752,752,60499,43623,6,0,16,1
1,40,0,0,752,752,43650,54577,6,0,20,1
1,40,0,0,752,752,54577,43759,6,0,41,1
1,68,0,0,65535,752,0,1281,1,192,0,1
1,40,0,0,752,752,15846,44987,6,0,20,1
1,40,0,0,752,752,41118,61008,6,0,4,1
1,68,0,0,65535,752,0,1281,1,192,0,1
1,40,0,0,752,752,61429,43980,6,0,16,1
1,44,0,0,752,752,34711,33680,6,0,2,1
1,44,0,0,752,752,61670,53951,6,0,2,1
1,40,0,0,752,752,2048,43058,6,0,20,1
1,68,0,0,65535,752,0,1281,1,192,0,1
1,68,0,0,65535,752,0,1281,1,192,0,1
1,40,0,0,752,752,19066,49043,6,0,20,1
1,40,0,0,752,752,33725,58228,6,0,41,1
3,204,0,0,65535,752,0,1281,1,192,0,1
1,60,0,0,752,752,55104,6796,6,0,2,1
1,68,0,0,65535,752,0,1281,1,192,0,1
1,40,0,0,752,752,7809,53426,6,0,20,1
1,40,0,0,752,752,60178,6159,6,0,16,1
1,40,0,0,752,752,61849,53185,6,0,41,1
1,68,0,0,65535,752,0,1281,1,192,0,1
1,40,0,0,752,752,47196,53576,6,0,4,1
1,40,0,0,752,752,64023,47649,6,0,20,1
1,40,0,0,752,752,37115,37754,6,0,20,1
1,68,0,0,65535,752,0,1281,1,192,0,1
1,68,0,0,65535,752,0,1281,1,192,0,1
1,40,0,0,752,752,47956,59691,6,0,16,1
1,40,0,0,752,752,49117,29091,6,0,1,1
1,40,0,0,752,752,57579,27893,6,0,1,1
1,44,0,0,752,752,33154,40071,6,0,2,1
1,60,0,0,752,752,50294,25265,6,0,2,1
1,40,0,0,752,752,54574,10474,6,0,16,1
1,40,0,0,752,752,49767,22551,6,0,0,1
1,40,0,0,752,752,36101,7926,6,0,16,1
1,44,0,0,752,752,55887,49157,6,0,2,1
1,44,0,0,752,752,36082,49503,6,0,2,1
1,40,0,0,752,752,58569,11605,6,0,16,1
1,40,0,0,752,752,35971,43203,6,0,0,1
1,40,0,0,752,752,44449,28069,6,0,16,1
1,68,0,0,65535,752,0,1281,1,192,0,1
1,40,0,0,752,752,15146,34819,6,0,4,1
2,136,0,0,65535,752,0,1281,1,192,0,1
1,40,0,0,752,752,9047,50541,6,0,20,1
1,68,0,0,65535,752,0,1281,1,192,0,1
1,40,0,0,752,752,7631,46094,6,0,20,1
1,40,0,0,752,752,9426,41455,6,0,20,1
1,68,0,0,65535,752,0,1281,1,192,0,1
1,44,0,0,752,752,37213,44116,6,0,2,1
1,40,0,0,752,752,39562,33652,6,0,16,1
1,40,0,0,752,752,60561,19182,6,0,0,1
1,40,0,0,752,752,43885,25381,6,0,1,1
1,40,0,0,752,752,41899,25257,6,0,16,1
1,40,0,0,752,752,30166,61936,6,0,20,1
1,68,0,0,65535,752,0,1281,1,192,0,1
1,40,0,0,752,752,43356,12371,6,0,1,1
1,40,0,0,752,752,61494,48212,6,0,16,1
1,40,0,0,752,752,40645,55293,6,0,0,1
1,44,0,0,752,752,64400,26750,6,0,2,1
1,68,0,0,65535,752,0,1281,1,192,0,1
1,40,0,0,752,752,37237,14286,6,0,1,1
1,40,0,0,752,752,58034,13287,6,0,1,1
1,40,0,0,752,752,39869,20401,6,0,0,1
1,40,0,0,752,752,59010,25557,6,0,16,1
1,40,0,0,752,752,43653,23917,6,0,17,1
1,40,0,0,752,752,37609,19426,6,0,0,1
1,68,0,0,65535,752,0,1281,1,192,0,1
1,40,0,0,752,752,48443,34990,6,0,20,1
1,40,0,0,752,752,62473,54741,6,0,0,1
1,40,0,0,752,752,51439,40595,6,0,1,1
1,40,0,0,752,752,38414,45166,6,0,1,1
4,272,0,0,65535,752,0,1281,1,192,0,1
1,40,0,0,752,752,61269,49497,6,0,1,1
1,40,0,0,752,752,46051,51040,6,0,1,1
1,68,0,0,65535,752,0,1281,1,192,0,1
1,40,0,0,752,752,52200,52977,6,0,4,1
1,68,0,0,65535,752,0,1281,1,192,0,1
1,40,0,0,752,752,58123,60931,6,0,0,1
4,272,0,0,65535,752,0,1281,1,192,0,1
1,40,0,0,752,752,62799,34300,6,0,20,1
1,68,0,0,65535,752,0,1281,1,192,0,1
1,40,0,0,752,752,45546,23474,6,0,1,1
1,40,0,0,752,752,49542,44894,6,0,0,1
3,204,0,0,65535,752,0,1281,1,192,0,1
3,204,0,0,65535,752,0,1281,1,192,0,1
1,40,0,0,752,752,36685,56789,6,0,1,1
1,40,0,0,752,752,64106,56860,6,0,17,1
3,204,0,0,65535,752,0,1281,1,192,0,1
2,136,0,0,65535,752,0,1281,1,192,0,1
1,40,0,0,752,752,36351,37139,6,0,17,1
1,40,0,0,752,752,57706,8886,6,0,0,1
1,40,0,0,752,752,52284,64378,6,0,0,1
1,68,0,0,65535,752,0,1281,1,192,0,1
3,204,0,0,65535,752,0,1281,1,192,0,1
1,40,0,0,752,752,52601,62169,6,0,0,1
1,40,0,0,752,752,1399,51726,6,0,4,1
1,40,0,0,752,752,55042,12128,6,0,17,1
1,40,0,0,752,752,46877,16736,6,0,17,1
1,40,0,0,752,752,38085,20052,6,0,17,1
3,204,0,0,65535,752,0,1281,1,192,0,1
1,40,0,0,752,752,44746,36658,6,0,17,1
4,272,0,0,65535,752,0,1281,1,192,0,1
1,68,0,0,65535,752,0,1281,1,192,0,1
1,40,0,0,752,752,19826,45845,6,0,4,1
1,68,0,0,65535,752,0,1281,1,192,0,1
1,40,0,0,752,752,51193,54553,6,0,4,1
1,68,0,0,65535,752,0,1281,1,192,0,1
1,40,0,0,752,752,40225,37272,6,0,20,1
1,68,0,0,65535,752,0,1281,1,192,0,1
1,40,0,0,752,752,54194,34802,6,0,4,1
1,40,0,0,752,752,57257,64819,6,0,4,1
1,68,0,0,65535,752,0,1281,1,192,0,1
1,68,0,0,65535,752,0,1281,1,192,0,1
1,40,0,0,752,752,62011,63187,6,0,4,1
1,28,0,0,752,752,39749,19174,17,0,0,1
1,28,0,0,752,752,51013,63520,17,0,0,1
1,28,0,0,752,752,35902,21403,17,0,0,1
1,28,0,0,752,752,56190,17428,17,0,0,1
1,56,0,0,752,752,0,771,1,192,0,1
1,28,0,0,752,752,38600,49690,17,0,0,1
1,28,0,0,752,752,44558,23791,17,0,0,1
1,56,0,0,752,752,0,771,1,192,0,1
1,28,0,0,752,752,49300,38705,17,0,0,1
1,28,0,0,752,752,38599,49992,17,0,0,1
1,56,0,0,752,752,0,771,1,192,0,1
1,28,0,0,752,752,57561,55137,17,0,0,1
1,28,0,0,752,752,44480,9062,17,0,0,1
1,28,0,0,752,752,63492,18035,17,0,0,1
1,56,0,0,752,752,0,771,1,192,0,1
1,28,0,0,752,752,50739,22467,17,0,0,1
1,56,0,0,752,752,0,771,1,192,0,1
1,28,0,0,752,752,33216,60651,17,0,0,1
12,3033,0,0,65535,752,22,56324,6,0,26,1
17,2721,0,0,752,65535,56324,22,6,0,26,1
31,2460,0,0,752,65535,56324,22,6,16,25,1
22,3180,0,0,65535,752,22,56324,6,16,25,1
6,528,0,0,65535,752,47216,22,6,8,25,1
4,404,0,0,752,65535,22,47216,6,8,25,1
13,2665,0,0,65535,752,47216,22,6,0,26,1
12,2873,0,0,752,65535,22,47216,6,0,26,1
4,404,0,0,752,65535,22,43862,6,8,25,1
12,2873,0,0,752,65535,22,43862,6,0,26,1
6,528,0,0,65535,752,43862,22,6,8,25,1
13,2665,0,0,65535,752,43862,22,6,0,26,1
13,2665,0,0,65535,752,40538,22,6,0,26,1
12,2873,0,0,752,65535,22,40538,6,0,26,1
6,528,0,0,65535,752,40538,22,6,8,25,1
4,404,0,0,752,65535,22,40538,6,8,25,1
