dpkts,doctets,srcport,dstport,prot,tos,tcp_flags,Label
0.0,0.0010647359454855196,0.7423765492819201,0.0009511939123589609,0.3125,0.0,0.07142857142857142,1
0.0,0.0006388415672913118,0.744016001049249,0.0009511939123589609,0.3125,0.0,0.5714285714285714,1
0.0,0.0010647359454855196,0.7456554528165781,0.0009511939123589609,0.3125,0.0,0.07142857142857142,1
0.0,0.0006388415672913118,0.001311561413863204,0.7471136184728417,0.3125,0.0,0.6071428571428571,1
0.0,0.0006388415672913118,0.7489343563512361,0.0009511939123589609,0.3125,0.0,0.5714285714285714,1
0.0,0.0010647359454855196,0.7505738081185651,0.0009511939123589609,0.3125,0.0,0.07142857142857142,1
0.0,0.0006388415672913118,0.001311561413863204,0.7520335869850432,0.3125,0.0,0.6071428571428571,1
0.0,0.0010647359454855196,0.7538527116532231,0.0009511939123589609,0.3125,0.0,0.07142857142857142,1
0.0,0.0006388415672913118,0.7554921634205521,0.0009511939123589609,0.3125,0.0,0.5714285714285714,1
0.0,0.0006388415672913118,0.7571316151878811,0.0009511939123589609,0.3125,0.0,0.5714285714285714,1
0.0,0.0006388415672913118,0.7587710669552101,0.0009511939123589609,0.3125,0.0,0.5714285714285714,1
0.0,0.0006388415672913118,0.7604105187225392,0.0009511939123589609,0.3125,0.0,0.5714285714285714,1
0.0,0.0006388415672913118,0.7620499704898681,0.0009511939123589609,0.3125,0.0,0.5714285714285714,1
0.0,0.0010647359454855196,0.7636894222571972,0.0009511939123589609,0.3125,0.0,0.07142857142857142,1
0.0,0.0006388415672913118,0.001311561413863204,0.7651535030175806,0.3125,0.0,0.6071428571428571,1
0.0,0.0010647359454855196,0.001311561413863204,0.7668590921018105,0.3125,0.0,0.6428571428571428,1
0.0,0.0006388415672913118,0.001311561413863204,0.7683022828653896,0.3125,0.0,0.5714285714285714,1
0.0,0.0006388415672913118,0.7702472293265131,0.0009511939123589609,0.3125,0.0,0.5714285714285714,1
0.0,0.0006388415672913118,0.001311561413863204,0.7717134610338493,0.3125,0.0,0.6071428571428571,1
0.0,0.0006388415672913118,0.7735261328611712,0.0009511939123589609,0.3125,0.0,0.5714285714285714,1
0.0,0.0006388415672913118,0.001311561413863204,0.7749934400419837,0.3125,0.0,0.6071428571428571,1
0.0,0.0006388415672913118,0.7768050363958292,0.0009511939123589609,0.3125,0.0,0.5714285714285714,1
0.0,0.0006388415672913118,0.001311561413863204,0.778273419050118,0.3125,0.0,0.6071428571428571,1
0.0,0.0010647359454855196,0.7800839399304872,0.0009511939123589609,0.3125,0.0,0.07142857142857142,1
0.0,0.0006388415672913118,0.7817233916978162,0.0009511939123589609,0.3125,0.0,0.5714285714285714,1
0.0,0.0006388415672913118,0.7833628434651452,0.0009511939123589609,0.3125,0.0,0.5714285714285714,1
0.0,0.0006388415672913118,0.7850022952324742,0.0009511939123589609,0.3125,0.0,0.5714285714285714,1
0.0,0.02395655877342419,0.7866745360351498,0.0009511939123589609,0.3125,0.0,0.8571428571428571,1
0.0,0.023637137989778532,0.7883139878024787,0.0009511939123589609,0.3125,0.0,0.8571428571428571,1
0.0,0.0006388415672913118,0.7898878614991146,0.0009511939123589609,0.3125,0.0,0.6071428571428571,1
0.0,0.0010647359454855196,0.7916256803724834,0.0009511939123589609,0.3125,0.0,0.07142857142857142,1
0.0851063829787234,0.019591141396933562,0.0,0.02064746785620572,0.0,1.0,0.0,1
0.0,0.0010647359454855196,0.001311561413863204,0.7931317239569666,0.3125,0.0,0.6428571428571428,1
0.0,0.026511925042589438,0.7948717948717948,0.0009511939123589609,0.3125,0.0,0.8571428571428571,1
