dpkts,doctets,srcaddr,dstaddr,srcport,dstport,prot,tos,tcp_flags,Label
0.0,0.005409791723018665,0.7027753109087341,0.6404755749963771,0.6554200275427896,0.0009511939123589609,1.0000000000000002,0.0,0.07692307692307693,1
0.0,0.0032458750338111974,0.6445857144795671,0.6982873227347106,0.001311561413863204,0.6618013644712674,1.0000000000000002,0.0,0.6538461538461539,1
0.0,0.005409791723018665,0.6445857144795671,0.6982873227347106,0.001311561413863204,0.6683941222776173,1.0000000000000002,0.0,0.6923076923076923,1
0.03225806451612903,0.03462266702731945,0.6445856693900912,0.6404755749963771,0.0,0.02064746785620572,0.0,1.0,0.0,1
0.0,0.0032458750338111974,0.6445857144795671,0.6982873227347106,0.001311561413863204,0.6748228811335607,1.0000000000000002,0.0,0.6153846153846154,1
0.0,0.0032458750338111974,0.6445857144795671,0.6982873227347106,0.001311561413863204,0.6813172395696667,1.0000000000000002,0.0,0.6153846153846154,1
0.0,0.005409791723018665,0.702775310630404,0.6404755440258249,0.9827529674076988,0.006904355812122802,1.0000000000000002,0.0,0.07692307692307693,1
0.0,0.005409791723018665,0.702775310630404,0.6404755440258249,0.9892779854416682,0.006904355812122802,1.0000000000000002,0.0,0.07692307692307693,1
0.0,0.0032458750338111974,0.7027753109087341,0.6404755749963771,0.7012918879926552,0.0009511939123589609,1.0000000000000002,0.0,0.6538461538461539,1
0.0,0.0032458750338111974,0.702775310630404,0.6404755440258249,0.5394779985572824,0.006904355812122802,1.0000000000000002,0.0,0.6538461538461539,1
0.0,0.0032458750338111974,0.702775310630404,0.6404755440258249,0.5460358056265985,0.006904355812122802,1.0000000000000002,0.0,0.6538461538461539,1
0.0,0.0032458750338111974,0.702775310630404,0.6404755440258249,0.5525608236605679,0.006904355812122802,1.0000000000000002,0.0,0.6538461538461539,1
0.0,0.0032458750338111974,0.6445856833065962,0.6982873224581878,0.007262771329267492,0.5590724219364995,1.0000000000000002,0.0,0.6153846153846154,1
0.0,0.0032458750338111974,0.6445856880382078,0.6982873232877561,0.007262771329267492,0.5470348989766465,1.0000000000000002,0.0,0.6153846153846154,1
0.0,0.11847443873410875,0.6445856880382078,0.6982873232877561,0.007262771329267492,0.5536604565730778,1.0000000000000002,0.0,0.9230769230769231,1
0.0,0.005409791723018665,0.7027753114653943,0.6404755487267122,0.5604629811790937,0.006904355812122802,1.0000000000000002,0.0,0.07692307692307693,1
