dpkts,doctets,srcport,dstport,prot,tos,tcp_flags,Label
3.082329007798292e-05,4.023907892442392e-06,0.9816554369743766,0.0004430151281462,0.3125,0.0,0.8064516129032258,1
2.054886005198861e-05,4.050512242144491e-06,0.0013114969097854,0.9816394841334952,0.3125,0.0,0.8064516129032258,1
5.137215012997153e-05,4.795434033803247e-06,0.9816882243971212,0.0004430151281462,0.3125,0.0,7.064516129032258,1
4.109772010397723e-05,3.724608958293785e-06,0.0013114969097854,0.9816723000689134,0.3125,0.0,0.8709677419354839,1
5.137215012997153e-05,4.802085121228772e-06,0.981721011819866,0.0004430151281462,0.3125,0.0,7.064516129032258,1
4.109772010397723e-05,3.724608958293785e-06,0.0013114969097854,0.9817051160043316,0.3125,0.0,0.8709677419354839,1
5.137215012997153e-05,4.802085121228772e-06,0.9817701929539828,0.0004430151281462,0.3125,0.0,7.064516129032258,1
4.109772010397723e-05,1.347510312411287e-05,0.0013114969097854,0.981754339907459,0.3125,0.0,0.8709677419354839,1
5.137215012997153e-05,5.121337317653954e-06,0.981835767799472,0.0004430151281462,0.3125,0.0,7.064516129032258,1
4.109772010397723e-05,1.315585092768769e-05,0.0013114969097854,0.9818199717782954,0.3125,0.0,0.8709677419354839,1
5.137215012997153e-05,5.121337317653954e-06,0.9819013426449614,0.0004430151281462,0.3125,0.0,7.064516129032258,1
3.082329007798292e-05,3.4585654612728e-06,0.0013114969097854,0.981885603649132,0.3125,0.0,0.8709677419354839,1
5.137215012997153e-05,5.121337317653954e-06,0.981934130067706,0.0004430151281462,0.3125,0.0,7.064516129032258,1
3.082329007798292e-05,1.3209059627091886e-05,0.0013114969097854,0.9819184195845502,0.3125,0.0,0.8709677419354839,1
3.082329007798292e-05,8.779435401692491e-07,0.9819505237790784,0.0004430151281462,0.3125,0.0,6.806451612903226,1
1.0274430025994308e-05,3.4585654612728e-07,0.0013114969097854,0.9819348275522592,0.3125,0.0,0.6129032258064516,1
5.137215012997153e-05,5.17454601705815e-06,0.9819997049131952,0.0004430151281462,0.3125,0.0,7.064516129032258,1
3.082329007798292e-05,1.328887267619818e-05,0.0013114969097854,0.9819840514553866,0.3125,0.0,0.8709677419354839,1
5.137215012997153e-05,5.3075677655686425e-06,0.9820488860473122,0.0004430151281462,0.3125,0.0,7.064516129032258,1
4.109772010397723e-05,1.3714542271431756e-05,0.0013114969097854,0.982033275358514,0.3125,0.0,0.8709677419354839,1
7.192101018196015e-05,9.950026788584824e-06,0.9820980671814292,0.0004430151281462,0.3125,0.0,7.064516129032258,1
5.137215012997153e-05,1.733938491834267e-05,0.0013114969097854,0.9820824992616414,0.3125,0.0,0.8709677419354839,1
5.137215012997153e-05,5.533704738036479e-06,0.9821800357382908,0.0004430151281462,0.3125,0.0,7.064516129032258,1
3.082329007798292e-05,1.3268919413921608e-05,0.0013114969097854,0.982164539100187,0.3125,0.0,0.8709677419354839,1
5.137215012997153e-05,5.520402563185431e-06,0.9822620042951524,0.0004430151281462,0.3125,0.0,7.064516129032258,1
3.082329007798292e-05,1.3335430288176851e-05,0.0013114969097854,0.9822465789387326,0.3125,0.0,0.8709677419354839,1
5.137215012997153e-05,5.600215612291725e-06,0.982343972852014,0.0004430151281462,0.3125,0.0,7.064516129032258,1
4.109772010397723e-05,4.655761197867231e-06,0.0013114969097854,0.9823286187772782,0.3125,0.0,0.8709677419354839,1
6.164658015596584e-05,5.892863459014809e-06,0.9823603665633864,0.0004430151281462,0.3125,0.0,7.064516129032258,1
4.109772010397723e-05,2.782814978839499e-05,0.0013114969097854,0.9823450267449872,0.3125,0.0,0.8709677419354839,1
5.137215012997153e-05,6.0258852075253015e-06,0.9825734848112264,0.0004430151281462,0.3125,0.0,7.064516129032258,1
3.082329007798292e-05,1.3534962910942592e-05,0.0013114969097854,0.9825583303252058,0.3125,0.0,0.8709677419354839,1
5.137215012997153e-05,6.092396081780548e-06,0.9829177527500452,0.0004430151281462,0.3125,0.0,7.064516129032258,1
3.082329007798292e-05,1.4399604276260791e-05,0.0013114969097854,0.9829028976470974,0.3125,0.0,0.8709677419354839,1
3.082329007798292e-05,4.010605717591343e-06,1.0742799062279709,0.0004430151281462,0.3125,0.0,0.8064516129032258,1
3.082329007798292e-05,4.2966024768889015e-06,0.0013114969097854,1.0743445016900206,0.3125,0.0,0.8064516129032258,1
5.137215012997153e-05,4.649110110441706e-06,1.0743126936507157,0.0004430151281462,0.3125,0.0,7.064516129032258,1
4.109772010397723e-05,1.315585092768769e-05,0.0013114969097854,1.0743773176254388,0.3125,0.0,0.8709677419354839,1
5.137215012997153e-05,4.968362306866887e-06,1.0743454810734605,0.0004430151281462,0.3125,0.0,7.064516129032258,1
4.109772010397723e-05,3.724608958293785e-06,0.0013114969097854,1.0744101335608571,0.3125,0.0,0.8709677419354839,1
7.192101018196015e-05,9.058781073564524e-06,0.8057837013721536,0.0004430151281462,0.3125,0.0,7.064516129032258,1
4.109772010397723e-05,1.6049073957790895e-05,0.0013114969097854,0.8056148065500606,0.3125,0.0,0.8709677419354839,1
5.137215012997153e-05,5.17454601705815e-06,0.8058492762176429,0.0004430151281462,0.3125,0.0,7.064516129032258,1
4.109772010397723e-05,1.3554916173219164e-05,0.0013114969097854,0.8056804384208971,0.3125,0.0,0.8709677419354839,1
5.137215012997153e-05,5.3075677655686425e-06,0.8058820636403876,0.0004430151281462,0.3125,0.0,7.064516129032258,1
4.109772010397723e-05,1.3714542271431756e-05,0.0013114969097854,0.8057132543563154,0.3125,0.0,0.8709677419354839,1
5.137215012997153e-05,5.387380814674938e-06,0.8059968196199938,0.0004430151281462,0.3125,0.0,7.064516129032258,1
4.109772010397723e-05,1.363472922232546e-05,0.0013114969097854,0.8058281101302792,0.3125,0.0,0.8709677419354839,1
