dpkts,doctets,srcaddr,dstaddr,input,output,srcport,dstport,prot,tos,tcp_flags,Label
0.0,7.096728408203818e-05,0.6993700727993952,0.6414669960862533,0.014333185305422417,0.014333185305422417,0.6558931618322615,0.0009516621271289337,0.3125,0.0,0.07692307692307693,1
0.0,4.258037044922291e-05,0.6414669960862533,0.6993700727993952,0.014333185305422417,0.014333185305422417,0.00131250820317627,0.6621271289338102,0.3125,0.0,0.6538461538461539,1
0.0,7.096728408203818e-05,0.6414669960862533,0.6993700727993952,0.014333185305422417,0.014333185305422417,0.00131250820317627,0.6687231319528762,0.3125,0.0,0.6923076923076923,1
0.010752688172043012,0.00045419061812504435,0.6414669512187934,0.6414669960862533,1.0,0.014333185305422417,0.0,0.020657631345781507,0.0,1.0,0.0,1
0.0,4.258037044922291e-05,0.6414669960862533,0.6993700727993952,0.014333185305422417,0.014333185305422417,0.00131250820317627,0.6751550552948511,0.3125,0.0,0.6153846153846154,1
0.0,4.258037044922291e-05,0.6414669960862533,0.6993700727993952,0.014333185305422417,0.014333185305422417,0.00131250820317627,0.6816526105076625,0.3125,0.0,0.6153846153846154,1
0.0,7.096728408203818e-05,0.6993700725224357,0.6414669650667748,0.014333185305422417,0.014333185305422417,0.983462396639979,0.006907754405539329,0.3125,0.0,0.07692307692307693,1
0.0,7.096728408203818e-05,0.6993700725224357,0.6414669650667748,0.014333185305422417,0.014333185305422417,0.989992124950781,0.006907754405539329,0.3125,0.0,0.07692307692307693,1
0.0,4.258037044922291e-05,0.6993700727993952,0.6414669960862533,0.014333185305422417,0.014333185305422417,0.7017981362383515,0.0009516621271289337,0.3125,0.0,0.6538461538461539,1
0.0,4.258037044922291e-05,0.6993700725224357,0.6414669650667748,0.014333185305422417,0.014333185305422417,0.5398674366714793,0.006907754405539329,0.3125,0.0,0.6538461538461539,1
0.0,4.258037044922291e-05,0.6993700725224357,0.6414669650667748,0.014333185305422417,0.014333185305422417,0.5464299776873606,0.006907754405539329,0.3125,0.0,0.6538461538461539,1
0.0,4.258037044922291e-05,0.6993700725224357,0.6414669650667748,0.014333185305422417,0.014333185305422417,0.5529597059981626,0.006907754405539329,0.3125,0.0,0.6538461538461539,1
0.0,4.258037044922291e-05,0.6414669650667748,0.6993700725224357,0.014333185305422417,0.014333185305422417,0.007268014175088595,0.5593476192038853,0.3125,0.0,0.6153846153846154,1
0.0,4.258037044922291e-05,0.6414669697750885,0.6993700733533144,0.014333185305422417,0.014333185305422417,0.007268014175088595,0.5473041709053915,0.3125,0.0,0.6153846153846154,1
0.0,0.0015541835213966361,0.6414669697750885,0.6993700733533144,0.014333185305422417,0.014333185305422417,0.007268014175088595,0.5539329898598758,0.3125,0.0,0.9230769230769231,1
0.0,7.096728408203818e-05,0.6993700733533144,0.6414669697750885,0.014333185305422417,0.014333185305422417,0.5608675679222995,0.006907754405539329,0.3125,0.0,0.07692307692307693,1
0.0,0.0011496700021290185,0.6414669697750885,0.6993700733533144,0.014333185305422417,0.014333185305422417,0.007268014175088595,0.566993732156335,0.3125,0.0,0.9230769230769231,1
0.0,7.096728408203818e-05,0.6993700733533144,0.6414669697750885,0.014333185305422417,0.014333185305422417,0.5739926499540623,0.006907754405539329,0.3125,0.0,0.07692307692307693,1
